,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
190,13121010303,1074.0,2015.0
191,13121010303,1103.0,2016.0
192,13121010303,1124.0,2017.0
193,13121001700,853.0,2012.0
194,13121001700,1025.0,2013.0
195,13121001700,1092.0,2014.0
196,13121001700,1117.0,2015.0
197,13121001700,1253.0,2016.0
198,13121001700,1377.0,2017.0
199,13121000600,1159.0,2012.0
200,13121000600,1157.0,2013.0
201,13121000600,1196.0,2014.0
202,13121000600,1238.0,2015.0
203,13121000600,1275.0,2016.0
204,13121000600,1389.0,2017.0
205,13121000200,1061.0,2012.0
206,13121000200,1083.0,2013.0
207,13121000200,1074.0,2014.0
208,13121000200,1136.0,2015.0
209,13121000200,1171.0,2016.0
210,13121000200,1247.0,2017.0
211,13121000400,1155.0,2012.0
212,13121000400,1215.0,2013.0
213,13121000400,1226.0,2014.0
214,13121000400,1340.0,2015.0
215,13121000400,1325.0,2016.0
216,13121000400,1580.0,2017.0
217,13121000100,1185.0,2012.0
218,13121000100,924.0,2013.0
219,13121000100,1099.0,2014.0
220,13121000100,1088.0,2015.0
221,13121000100,1352.0,2016.0
222,13121000100,1778.0,2017.0
223,13121010206,1383.0,2012.0
224,13121010206,1367.0,2013.0
225,13121010206,1381.0,2014.0
226,13121010206,967.0,2015.0
227,13121010206,1125.0,2016.0
228,13121010206,1107.0,2017.0
229,13121006602,675.0,2012.0
230,13121006602,670.0,2013.0
231,13121006602,745.0,2014.0
232,13121006602,747.0,2015.0
233,13121006602,798.0,2016.0
234,13121006602,799.0,2017.0
235,13121002900,1152.0,2012.0
236,13121002900,1178.0,2013.0
237,13121002900,1157.0,2014.0
238,13121002900,1226.0,2015.0
239,13121002900,1238.0,2016.0
240,13121002900,1279.0,2017.0
241,13121007705,823.0,2012.0
242,13121007705,736.0,2013.0
243,13121007705,776.0,2014.0
244,13121007705,827.0,2015.0
245,13121007705,823.0,2016.0
246,13121007705,850.0,2017.0
247,13121009603,936.0,2012.0
248,13121009603,1000.0,2013.0
249,13121009603,997.0,2014.0
250,13121009603,1012.0,2015.0
251,13121009603,1051.0,2016.0
252,13121009603,1114.0,2017.0
253,13121009601,1267.0,2012.0
254,13121009601,1369.0,2013.0
255,13121009601,1400.0,2014.0
256,13121009601,1499.0,2015.0
257,13121009601,1470.0,2016.0
258,13121009601,1501.0,2017.0
259,13121009801,1195.0,2012.0
260,13121009801,1096.0,2013.0
261,13121009801,425.0,2014.0
262,13121009801,407.0,2015.0
263,13121009801,1074.0,2016.0
264,13121009801,1143.0,2017.0
265,13121011900,872.0,2012.0
266,13121011900,841.0,2013.0
267,13121011900,904.0,2014.0
268,13121011900,910.0,2015.0
269,13121011900,890.0,2016.0
270,13121011900,853.0,2017.0
271,13121001202,1092.0,2012.0
272,13121001202,1159.0,2013.0
273,13121001202,1176.0,2014.0
274,13121001202,1178.0,2015.0
275,13121001202,1175.0,2016.0
276,13121001202,1228.0,2017.0
277,13121009102,842.0,2012.0
278,13121009102,801.0,2013.0
279,13121009102,860.0,2014.0
280,13121009102,872.0,2015.0
281,13121009102,960.0,2016.0
282,13121009102,1041.0,2017.0
283,13089020802,773.0,2012.0
284,13089020802,775.0,2013.0
285,13089020802,796.0,2014.0
286,13089020802,697.0,2015.0
287,13089020802,692.0,2016.0
288,13089020802,755.0,2017.0
289,13121001201,913.0,2012.0
290,13121001201,937.0,2013.0
291,13121001201,975.0,2014.0
292,13121001201,999.0,2015.0
293,13121001201,1145.0,2016.0
294,13121001201,1224.0,2017.0
295,13121001001,1395.0,2012.0
296,13121001001,1400.0,2013.0
297,13121001001,1404.0,2014.0
298,13121001001,1452.0,2015.0
299,13121001001,1438.0,2016.0
300,13121001001,1592.0,2017.0
301,13121008903,744.0,2012.0
302,13121008903,801.0,2013.0
303,13121008903,827.0,2014.0
304,13121008903,893.0,2015.0
305,13121008903,956.0,2016.0
306,13121008903,1179.0,2017.0
307,13121004300,852.0,2012.0
308,13121004300,862.0,2013.0
309,13121004300,873.0,2014.0
310,13121004300,882.0,2015.0
311,13121004300,889.0,2016.0
312,13121004300,880.0,2017.0
313,13121007603,725.0,2012.0
314,13121007603,730.0,2013.0
315,13121007603,695.0,2014.0
316,13121007603,717.0,2015.0
317,13121007603,688.0,2016.0
318,13121007603,696.0,2017.0
319,13121007604,804.0,2012.0
320,13121007604,828.0,2013.0
321,13121007604,801.0,2014.0
322,13121007604,771.0,2015.0
323,13121007604,784.0,2016.0
324,13121007604,801.0,2017.0
325,13121007703,774.0,2012.0
326,13121007703,798.0,2013.0
327,13121007703,833.0,2014.0
328,13121007703,876.0,2015.0
329,13121007703,840.0,2016.0
330,13121007703,893.0,2017.0
331,13121007704,932.0,2012.0
332,13121007704,922.0,2013.0
333,13121007704,902.0,2014.0
334,13121007704,851.0,2015.0
335,13121007704,874.0,2016.0
336,13121007704,881.0,2017.0
337,13121009501,1582.0,2012.0
338,13121009501,1505.0,2013.0
339,13121009501,1428.0,2014.0
340,13121009501,1440.0,2015.0
341,13121009501,1440.0,2016.0
342,13121009501,1583.0,2017.0
343,13089020700,801.0,2012.0
344,13089020700,824.0,2013.0
345,13089020700,853.0,2014.0
346,13089020700,855.0,2015.0
347,13089020700,859.0,2016.0
348,13089020700,873.0,2017.0
349,13121008902,982.0,2012.0
350,13121008902,1060.0,2013.0
351,13121008902,1107.0,2014.0
352,13121008902,1145.0,2015.0
353,13121008902,1180.0,2016.0
354,13121008902,1223.0,2017.0
355,13121009403,1013.0,2012.0
356,13121009403,1011.0,2013.0
357,13121009403,1005.0,2014.0
358,13121009403,1033.0,2015.0
359,13121009403,1103.0,2016.0
360,13121009403,1146.0,2017.0
361,13121009602,1566.0,2012.0
362,13121009602,1571.0,2013.0
363,13121009602,1688.0,2014.0
364,13121009602,1700.0,2015.0
365,13121009602,1500.0,2016.0
366,13121009602,1525.0,2017.0
367,13121009404,1287.0,2012.0
368,13121009404,1272.0,2013.0
369,13121009404,1359.0,2014.0
370,13121009404,1385.0,2015.0
371,13121009404,1413.0,2016.0
372,13121009404,1473.0,2017.0
373,13121009502,985.0,2012.0
374,13121009502,1027.0,2013.0
375,13121009502,1062.0,2014.0
376,13121009502,1133.0,2015.0
377,13121009502,1222.0,2016.0
378,13121009502,1396.0,2017.0
379,13121010114,968.0,2012.0
380,13121010114,906.0,2013.0
381,13121010114,922.0,2014.0
382,13121010114,962.0,2015.0
383,13121010114,1004.0,2016.0
384,13121010114,1093.0,2017.0
385,13121011800,906.0,2012.0
386,13121011800,890.0,2013.0
387,13121011800,865.0,2014.0
388,13121011800,820.0,2015.0
389,13121011800,843.0,2016.0
390,13121011800,895.0,2017.0
391,13089020600,1020.0,2012.0
392,13089020600,1032.0,2013.0
393,13089020600,1078.0,2014.0
394,13089020600,1083.0,2015.0
395,13089020600,1105.0,2016.0
396,13089020600,1099.0,2017.0
397,13089020400,1066.0,2012.0
398,13089020400,1020.0,2013.0
399,13089020400,890.0,2014.0
400,13089020400,897.0,2015.0
401,13089020400,952.0,2016.0
402,13089020400,934.0,2017.0
403,13089020500,960.0,2012.0
404,13089020500,948.0,2013.0
405,13089020500,902.0,2014.0
406,13089020500,950.0,2015.0
407,13089020500,803.0,2016.0
408,13089020500,898.0,2017.0
409,13089020801,1219.0,2012.0
410,13089020801,1250.0,2013.0
411,13089020801,1219.0,2014.0
412,13089020801,1150.0,2015.0
413,13089020801,1561.0,2016.0
414,13089020801,1582.0,2017.0
415,13089020900,940.0,2012.0
416,13089020900,916.0,2013.0
417,13089020900,936.0,2014.0
418,13089020900,978.0,2015.0
419,13089020900,1025.0,2016.0
420,13089020900,1090.0,2017.0
421,13121001002,1162.0,2012.0
422,13121001002,1120.0,2013.0
423,13121001002,1089.0,2014.0
424,13121001002,1130.0,2015.0
425,13121001002,1170.0,2016.0
426,13121001002,1194.0,2017.0
427,13121000700,1228.0,2012.0
428,13121000700,1113.0,2013.0
429,13121000700,1176.0,2014.0
430,13121000700,1194.0,2015.0
431,13121000700,1141.0,2016.0
432,13121000700,1127.0,2017.0
433,13121008700,758.0,2012.0
434,13121008700,808.0,2013.0
435,13121008700,813.0,2014.0
436,13121008700,787.0,2015.0
437,13121008700,741.0,2016.0
438,13121008700,737.0,2017.0
439,13089020100,2001.0,2012.0
440,13089020100,2001.0,2013.0
441,13089020100,2001.0,2014.0
442,13089020100,2117.0,2015.0
443,13089020100,2170.0,2016.0
444,13089020100,2288.0,2017.0
445,13089020200,911.0,2012.0
446,13089020200,969.0,2013.0
447,13089020200,973.0,2014.0
448,13089020200,1038.0,2015.0
449,13089020200,1067.0,2016.0
450,13089020200,1071.0,2017.0
451,13089020300,1070.0,2012.0
452,13089020300,1316.0,2013.0
453,13089020300,1236.0,2014.0
454,13089020300,1190.0,2015.0
455,13089020300,1259.0,2016.0
456,13089020300,1238.0,2017.0
457,13121006802,583.0,2012.0
458,13121006802,574.0,2013.0
459,13121006802,594.0,2014.0
460,13121006802,710.0,2015.0
461,13121006802,721.0,2016.0
462,13121006802,511.0,2017.0
463,13121006900,836.0,2012.0
464,13121006900,905.0,2013.0
465,13121006900,922.0,2014.0
466,13121006900,955.0,2015.0
467,13121006900,933.0,2016.0
468,13121006900,950.0,2017.0
469,13121007001,914.0,2012.0
470,13121007001,883.0,2013.0
471,13121007001,796.0,2014.0
472,13121007001,829.0,2015.0
473,13121007001,821.0,2016.0
474,13121007001,817.0,2017.0
475,13121007602,787.0,2012.0
476,13121007602,833.0,2013.0
477,13121007602,882.0,2014.0
478,13121007602,890.0,2015.0
479,13121007602,876.0,2016.0
480,13121007602,909.0,2017.0
481,13121007802,822.0,2012.0
482,13121007802,810.0,2013.0
483,13121007802,897.0,2014.0
484,13121007802,878.0,2015.0
485,13121007802,858.0,2016.0
486,13121007802,863.0,2017.0
487,13121002300,751.0,2012.0
488,13121002300,766.0,2013.0
489,13121002300,804.0,2014.0
490,13121002300,791.0,2015.0
491,13121002300,764.0,2016.0
492,13121002300,809.0,2017.0
493,13121002100,797.0,2012.0
494,13121002100,815.0,2013.0
495,13121002100,891.0,2014.0
496,13121002100,871.0,2015.0
497,13121002100,940.0,2016.0
498,13121002100,963.0,2017.0
499,13121007806,905.0,2012.0
500,13121007806,921.0,2013.0
501,13121007806,905.0,2014.0
502,13121007806,837.0,2015.0
503,13121007806,864.0,2016.0
504,13121007806,877.0,2017.0
