,GEOID,TOTAL POPULATION_Estimate!!Total,YEAR
187,13121010303,9247.0,2012.0
188,13121010303,9746.0,2013.0
189,13121010303,10181.0,2014.0
190,13121010303,9494.0,2015.0
191,13121010303,10275.0,2016.0
192,13121010303,10581.0,2017.0
193,13121001700,2724.0,2012.0
194,13121001700,3365.0,2013.0
195,13121001700,3314.0,2014.0
196,13121001700,3731.0,2015.0
197,13121001700,4278.0,2016.0
198,13121001700,4439.0,2017.0
199,13121000600,6321.0,2012.0
200,13121000600,6102.0,2013.0
201,13121000600,6416.0,2014.0
202,13121000600,5906.0,2015.0
203,13121000600,6234.0,2016.0
204,13121000600,6350.0,2017.0
205,13121000200,5807.0,2012.0
206,13121000200,6081.0,2013.0
207,13121000200,6101.0,2014.0
208,13121000200,6278.0,2015.0
209,13121000200,6275.0,2016.0
210,13121000200,6282.0,2017.0
211,13121000400,1741.0,2012.0
212,13121000400,1659.0,2013.0
213,13121000400,1642.0,2014.0
214,13121000400,1592.0,2015.0
215,13121000400,1757.0,2016.0
216,13121000400,1805.0,2017.0
217,13121000100,4225.0,2012.0
218,13121000100,4319.0,2013.0
219,13121000100,4469.0,2014.0
220,13121000100,4650.0,2015.0
221,13121000100,4781.0,2016.0
222,13121000100,5183.0,2017.0
223,13121010206,4985.0,2012.0
224,13121010206,4974.0,2013.0
225,13121010206,5029.0,2014.0
226,13121010206,5260.0,2015.0
227,13121010206,5524.0,2016.0
228,13121010206,5880.0,2017.0
229,13121006602,896.0,2012.0
230,13121006602,976.0,2013.0
231,13121006602,1091.0,2014.0
232,13121006602,1369.0,2015.0
233,13121006602,1388.0,2016.0
234,13121006602,1356.0,2017.0
235,13121002900,1990.0,2012.0
236,13121002900,2112.0,2013.0
237,13121002900,2401.0,2014.0
238,13121002900,2578.0,2015.0
239,13121002900,2411.0,2016.0
240,13121002900,2385.0,2017.0
241,13121007705,4334.0,2012.0
242,13121007705,4467.0,2013.0
243,13121007705,4969.0,2014.0
244,13121007705,5021.0,2015.0
245,13121007705,4800.0,2016.0
246,13121007705,4618.0,2017.0
247,13121009603,3635.0,2012.0
248,13121009603,3616.0,2013.0
249,13121009603,3901.0,2014.0
250,13121009603,4194.0,2015.0
251,13121009603,4557.0,2016.0
252,13121009603,4401.0,2017.0
253,13121009601,2291.0,2012.0
254,13121009601,2487.0,2013.0
255,13121009601,2417.0,2014.0
256,13121009601,2417.0,2015.0
257,13121009601,2446.0,2016.0
258,13121009601,2670.0,2017.0
259,13121009801,4270.0,2012.0
260,13121009801,4516.0,2013.0
261,13121009801,4544.0,2014.0
262,13121009801,4893.0,2015.0
263,13121009801,4811.0,2016.0
264,13121009801,4787.0,2017.0
265,13121011900,2031.0,2012.0
266,13121011900,2560.0,2013.0
267,13121011900,2741.0,2014.0
268,13121011900,3166.0,2015.0
269,13121011900,3245.0,2016.0
270,13121011900,3289.0,2017.0
271,13121001202,3475.0,2012.0
272,13121001202,3501.0,2013.0
273,13121001202,3518.0,2014.0
274,13121001202,3898.0,2015.0
275,13121001202,4119.0,2016.0
276,13121001202,4141.0,2017.0
277,13121009102,3415.0,2012.0
278,13121009102,3353.0,2013.0
279,13121009102,3147.0,2014.0
280,13121009102,3246.0,2015.0
281,13121009102,3169.0,2016.0
282,13121009102,3160.0,2017.0
283,13089020802,3826.0,2012.0
284,13089020802,4124.0,2013.0
285,13089020802,4256.0,2014.0
286,13089020802,4257.0,2015.0
287,13089020802,4365.0,2016.0
288,13089020802,4764.0,2017.0
289,13121001201,3552.0,2012.0
290,13121001201,3625.0,2013.0
291,13121001201,3484.0,2014.0
292,13121001201,3903.0,2015.0
293,13121001201,3736.0,2016.0
294,13121001201,4030.0,2017.0
295,13121001001,2170.0,2012.0
296,13121001001,2346.0,2013.0
297,13121001001,2531.0,2014.0
298,13121001001,2677.0,2015.0
299,13121001001,2648.0,2016.0
300,13121001001,2740.0,2017.0
301,13121008903,2123.0,2012.0
302,13121008903,2002.0,2013.0
303,13121008903,1771.0,2014.0
304,13121008903,1684.0,2015.0
305,13121008903,1667.0,2016.0
306,13121008903,1824.0,2017.0
307,13121004300,2351.0,2012.0
308,13121004300,2483.0,2013.0
309,13121004300,2646.0,2014.0
310,13121004300,2774.0,2015.0
311,13121004300,2996.0,2016.0
312,13121004300,3060.0,2017.0
313,13121007603,5148.0,2012.0
314,13121007603,4745.0,2013.0
315,13121007603,4685.0,2014.0
316,13121007603,4515.0,2015.0
317,13121007603,4601.0,2016.0
318,13121007603,4613.0,2017.0
319,13121007604,2235.0,2012.0
320,13121007604,2259.0,2013.0
321,13121007604,2242.0,2014.0
322,13121007604,2331.0,2015.0
323,13121007604,2438.0,2016.0
324,13121007604,2536.0,2017.0
325,13121007703,3590.0,2012.0
326,13121007703,3896.0,2013.0
327,13121007703,3759.0,2014.0
328,13121007703,4152.0,2015.0
329,13121007703,4420.0,2016.0
330,13121007703,4403.0,2017.0
331,13121007704,5104.0,2012.0
332,13121007704,5043.0,2013.0
333,13121007704,5496.0,2014.0
334,13121007704,5317.0,2015.0
335,13121007704,5446.0,2016.0
336,13121007704,5852.0,2017.0
337,13121009501,3955.0,2012.0
338,13121009501,3927.0,2013.0
339,13121009501,3823.0,2014.0
340,13121009501,3794.0,2015.0
341,13121009501,3730.0,2016.0
342,13121009501,3631.0,2017.0
343,13089020700,1991.0,2012.0
344,13089020700,2010.0,2013.0
345,13089020700,2060.0,2014.0
346,13089020700,2245.0,2015.0
347,13089020700,2256.0,2016.0
348,13089020700,2231.0,2017.0
349,13121008902,6095.0,2012.0
350,13121008902,6229.0,2013.0
351,13121008902,6357.0,2014.0
352,13121008902,6537.0,2015.0
353,13121008902,6839.0,2016.0
354,13121008902,6766.0,2017.0
355,13121009403,5035.0,2012.0
356,13121009403,5579.0,2013.0
357,13121009403,5538.0,2014.0
358,13121009403,4972.0,2015.0
359,13121009403,4580.0,2016.0
360,13121009403,4833.0,2017.0
361,13121009602,4551.0,2012.0
362,13121009602,4672.0,2013.0
363,13121009602,4717.0,2014.0
364,13121009602,4625.0,2015.0
365,13121009602,5018.0,2016.0
366,13121009602,4953.0,2017.0
367,13121009404,4565.0,2012.0
368,13121009404,4530.0,2013.0
369,13121009404,4737.0,2014.0
370,13121009404,4821.0,2015.0
371,13121009404,4443.0,2016.0
372,13121009404,4475.0,2017.0
373,13121009502,3026.0,2012.0
374,13121009502,3153.0,2013.0
375,13121009502,3112.0,2014.0
376,13121009502,3064.0,2015.0
377,13121009502,3354.0,2016.0
378,13121009502,3592.0,2017.0
379,13121010114,6224.0,2012.0
380,13121010114,6868.0,2013.0
381,13121010114,7356.0,2014.0
382,13121010114,7349.0,2015.0
383,13121010114,6361.0,2016.0
384,13121010114,6738.0,2017.0
385,13121011800,3372.0,2012.0
386,13121011800,2901.0,2013.0
387,13121011800,2989.0,2014.0
388,13121011800,2892.0,2015.0
389,13121011800,2521.0,2016.0
390,13121011800,2198.0,2017.0
391,13089020600,1687.0,2012.0
392,13089020600,1602.0,2013.0
393,13089020600,1867.0,2014.0
394,13089020600,2049.0,2015.0
395,13089020600,2190.0,2016.0
396,13089020600,2102.0,2017.0
397,13089020400,2564.0,2012.0
398,13089020400,2428.0,2013.0
399,13089020400,2451.0,2014.0
400,13089020400,2585.0,2015.0
401,13089020400,2520.0,2016.0
402,13089020400,2574.0,2017.0
403,13089020500,2873.0,2012.0
404,13089020500,2834.0,2013.0
405,13089020500,2922.0,2014.0
406,13089020500,2915.0,2015.0
407,13089020500,3145.0,2016.0
408,13089020500,3305.0,2017.0
409,13089020801,2448.0,2012.0
410,13089020801,2444.0,2013.0
411,13089020801,2592.0,2014.0
