,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
83,13121010002,140795.0,2016.0
84,13121010002,138864.0,2017.0
85,13121010001,82083.0,2012.0
86,13121010001,96343.0,2013.0
87,13121010001,100921.0,2014.0
88,13121010001,109327.0,2015.0
89,13121010001,101132.0,2016.0
90,13121010001,103894.0,2017.0
91,13121009802,180714.0,2012.0
92,13121009802,159405.0,2013.0
93,13121009802,154702.0,2014.0
94,13121009802,157837.0,2015.0
95,13121009802,142727.0,2016.0
96,13121009802,158800.0,2017.0
97,13121006801,-666666666.0,2012.0
98,13121006801,-666666666.0,2013.0
99,13121006801,-666666666.0,2014.0
100,13121006801,-666666666.0,2015.0
101,13121006801,-666666666.0,2016.0
102,13121006801,-666666666.0,2017.0
103,13121009700,151071.0,2012.0
104,13121009700,163125.0,2013.0
105,13121009700,164659.0,2014.0
106,13121009700,178438.0,2015.0
107,13121009700,181250.0,2016.0
108,13121009700,200179.0,2017.0
109,13121007100,20052.0,2012.0
110,13121007100,20282.0,2013.0
111,13121007100,19470.0,2014.0
112,13121007100,20810.0,2015.0
113,13121007100,20938.0,2016.0
114,13121007100,22500.0,2017.0
115,13121006200,30000.0,2012.0
116,13121006200,20900.0,2013.0
117,13121006200,24844.0,2014.0
118,13121006200,22139.0,2015.0
119,13121006200,24625.0,2016.0
120,13121006200,27115.0,2017.0
121,13121001100,71719.0,2012.0
122,13121001100,72762.0,2013.0
123,13121001100,71901.0,2014.0
124,13121001100,81655.0,2015.0
125,13121001100,88125.0,2016.0
126,13121001100,99205.0,2017.0
127,13121002500,23611.0,2012.0
128,13121002500,19912.0,2013.0
129,13121002500,22351.0,2014.0
130,13121002500,24199.0,2015.0
131,13121002500,23767.0,2016.0
132,13121002500,26066.0,2017.0
133,13121004200,19540.0,2012.0
134,13121004200,18722.0,2013.0
135,13121004200,19055.0,2014.0
136,13121004200,19375.0,2015.0
137,13121004200,17843.0,2016.0
138,13121004200,18569.0,2017.0
139,13121009101,66983.0,2012.0
140,13121009101,71691.0,2013.0
141,13121009101,69750.0,2014.0
142,13121009101,71145.0,2015.0
143,13121009101,73651.0,2016.0
144,13121009101,76981.0,2017.0
145,13121008904,63956.0,2012.0
146,13121008904,70787.0,2013.0
147,13121008904,68098.0,2014.0
148,13121008904,73894.0,2015.0
149,13121008904,77055.0,2016.0
150,13121008904,78924.0,2017.0
151,13121003700,-666666666.0,2012.0
152,13121003700,-666666666.0,2013.0
153,13121003700,-666666666.0,2014.0
154,13121003700,12411.0,2015.0
155,13121003700,23839.0,2016.0
156,13121003700,22679.0,2017.0
157,13121010211,108654.0,2012.0
158,13121010211,125417.0,2013.0
159,13121010211,158209.0,2014.0
160,13121010211,134048.0,2015.0
161,13121010211,155469.0,2016.0
162,13121010211,138393.0,2017.0
163,13121012000,16941.0,2012.0
164,13121012000,12475.0,2013.0
165,13121012000,12333.0,2014.0
166,13121012000,17558.0,2015.0
167,13121012000,19841.0,2016.0
168,13121012000,28902.0,2017.0
169,13121009000,115110.0,2012.0
170,13121009000,103387.0,2013.0
171,13121009000,104038.0,2014.0
172,13121009000,101818.0,2015.0
173,13121009000,104459.0,2016.0
174,13121009000,105197.0,2017.0
175,13121007002,23589.0,2012.0
176,13121007002,19943.0,2013.0
177,13121007002,25496.0,2014.0
178,13121007002,26329.0,2015.0
179,13121007002,33536.0,2016.0
180,13121007002,34286.0,2017.0
181,13121009900,116533.0,2012.0
182,13121009900,110865.0,2013.0
183,13121009900,108800.0,2014.0
184,13121009900,112589.0,2015.0
185,13121009900,133438.0,2016.0
186,13121009900,124643.0,2017.0
187,13121010303,74854.0,2012.0
188,13121010303,71333.0,2013.0
189,13121010303,70352.0,2014.0
190,13121010303,56698.0,2015.0
191,13121010303,61804.0,2016.0
192,13121010303,63209.0,2017.0
193,13121001700,30767.0,2012.0
194,13121001700,32847.0,2013.0
195,13121001700,35337.0,2014.0
196,13121001700,46571.0,2015.0
197,13121001700,54348.0,2016.0
198,13121001700,60069.0,2017.0
199,13121000600,42335.0,2012.0
200,13121000600,43570.0,2013.0
201,13121000600,44612.0,2014.0
202,13121000600,43146.0,2015.0
203,13121000600,44554.0,2016.0
204,13121000600,50969.0,2017.0
205,13121000200,88698.0,2012.0
206,13121000200,94125.0,2013.0
207,13121000200,101100.0,2014.0
208,13121000200,100985.0,2015.0
209,13121000200,106045.0,2016.0
210,13121000200,116094.0,2017.0
211,13121000400,106136.0,2012.0
212,13121000400,105938.0,2013.0
213,13121000400,92273.0,2014.0
214,13121000400,102560.0,2015.0
215,13121000400,92361.0,2016.0
216,13121000400,91857.0,2017.0
217,13121000100,123676.0,2012.0
218,13121000100,125819.0,2013.0
219,13121000100,128578.0,2014.0
220,13121000100,139487.0,2015.0
221,13121000100,138276.0,2016.0
222,13121000100,149450.0,2017.0
223,13121010206,163456.0,2012.0
224,13121010206,160223.0,2013.0
225,13121010206,163194.0,2014.0
226,13121010206,168214.0,2015.0
227,13121010206,184400.0,2016.0
228,13121010206,177188.0,2017.0
229,13121006602,12051.0,2012.0
230,13121006602,12439.0,2013.0
231,13121006602,13872.0,2014.0
232,13121006602,16761.0,2015.0
233,13121006602,17857.0,2016.0
234,13121006602,20170.0,2017.0
235,13121002900,61250.0,2012.0
236,13121002900,64671.0,2013.0
237,13121002900,60667.0,2014.0
238,13121002900,59276.0,2015.0
239,13121002900,60083.0,2016.0
240,13121002900,63112.0,2017.0
241,13121007705,24053.0,2012.0
242,13121007705,21170.0,2013.0
243,13121007705,19248.0,2014.0
244,13121007705,21949.0,2015.0
245,13121007705,20756.0,2016.0
246,13121007705,22592.0,2017.0
247,13121009603,56272.0,2012.0
248,13121009603,59800.0,2013.0
249,13121009603,61908.0,2014.0
250,13121009603,62866.0,2015.0
251,13121009603,67063.0,2016.0
252,13121009603,75987.0,2017.0
253,13121009601,90982.0,2012.0
254,13121009601,88264.0,2013.0
255,13121009601,93026.0,2014.0
256,13121009601,93906.0,2015.0
257,13121009601,93576.0,2016.0
258,13121009601,94265.0,2017.0
259,13121009801,116599.0,2012.0
260,13121009801,143000.0,2013.0
261,13121009801,132143.0,2014.0
262,13121009801,126447.0,2015.0
263,13121009801,117422.0,2016.0
264,13121009801,105536.0,2017.0
265,13121011900,30916.0,2012.0
266,13121011900,23791.0,2013.0
267,13121011900,24083.0,2014.0
268,13121011900,28207.0,2015.0
269,13121011900,23185.0,2016.0
270,13121011900,26032.0,2017.0
271,13121001202,63314.0,2012.0
272,13121001202,65255.0,2013.0
273,13121001202,66670.0,2014.0
274,13121001202,68117.0,2015.0
275,13121001202,75195.0,2016.0
276,13121001202,83063.0,2017.0
277,13121009102,58470.0,2012.0
278,13121009102,44089.0,2013.0
279,13121009102,53482.0,2014.0
280,13121009102,42247.0,2015.0
281,13121009102,52339.0,2016.0
282,13121009102,54174.0,2017.0
283,13089020802,42722.0,2012.0
284,13089020802,42679.0,2013.0
285,13089020802,49464.0,2014.0
286,13089020802,51944.0,2015.0
287,13089020802,57422.0,2016.0
288,13089020802,57204.0,2017.0
289,13121001201,56340.0,2012.0
290,13121001201,53623.0,2013.0
291,13121001201,57250.0,2014.0
292,13121001201,59840.0,2015.0
293,13121001201,55797.0,2016.0
294,13121001201,58603.0,2017.0
295,13121001001,71216.0,2012.0
296,13121001001,64583.0,2013.0
297,13121001001,67353.0,2014.0
298,13121001001,75375.0,2015.0
299,13121001001,75556.0,2016.0
300,13121001001,80132.0,2017.0
301,13121008903,58409.0,2012.0
302,13121008903,66635.0,2013.0
303,13121008903,70771.0,2014.0
304,13121008903,62667.0,2015.0
305,13121008903,64323.0,2016.0
306,13121008903,71548.0,2017.0
307,13121004300,32566.0,2012.0
308,13121004300,31607.0,2013.0
309,13121004300,30272.0,2014.0
310,13121004300,29238.0,2015.0
311,13121004300,28016.0,2016.0
312,13121004300,28287.0,2017.0
313,13121007603,15712.0,2012.0
314,13121007603,14346.0,2013.0
315,13121007603,14112.0,2014.0
316,13121007603,13251.0,2015.0
317,13121007603,13819.0,2016.0
318,13121007603,13792.0,2017.0
319,13121007604,19833.0,2012.0
320,13121007604,17238.0,2013.0
321,13121007604,16289.0,2014.0
322,13121007604,13674.0,2015.0
323,13121007604,15493.0,2016.0
324,13121007604,18537.0,2017.0
325,13121007703,40547.0,2012.0
326,13121007703,36971.0,2013.0
327,13121007703,40793.0,2014.0
328,13121007703,43531.0,2015.0
329,13121007703,40058.0,2016.0
330,13121007703,42150.0,2017.0
331,13121007704,41090.0,2012.0
332,13121007704,36896.0,2013.0
333,13121007704,33474.0,2014.0
334,13121007704,33750.0,2015.0
335,13121007704,31537.0,2016.0
336,13121007704,30497.0,2017.0
337,13121009501,128904.0,2012.0
338,13121009501,139750.0,2013.0
339,13121009501,133750.0,2014.0
340,13121009501,155568.0,2015.0
341,13121009501,127288.0,2016.0
342,13121009501,149688.0,2017.0
343,13089020700,39583.0,2012.0
344,13089020700,46458.0,2013.0
345,13089020700,45742.0,2014.0
346,13089020700,50833.0,2015.0
347,13089020700,51339.0,2016.0
348,13089020700,53833.0,2017.0
349,13121008902,52535.0,2012.0
350,13121008902,53902.0,2013.0
351,13121008902,52442.0,2014.0
352,13121008902,54497.0,2015.0
353,13121008902,60802.0,2016.0
354,13121008902,57142.0,2017.0
355,13121009403,53100.0,2012.0
356,13121009403,54643.0,2013.0
357,13121009403,41296.0,2014.0
358,13121009403,41655.0,2015.0
359,13121009403,42708.0,2016.0
360,13121009403,45102.0,2017.0
361,13121009602,81711.0,2012.0
362,13121009602,96696.0,2013.0
363,13121009602,91875.0,2014.0
364,13121009602,95559.0,2015.0
365,13121009602,100142.0,2016.0
366,13121009602,101689.0,2017.0
367,13121009404,94419.0,2012.0
368,13121009404,86205.0,2013.0
369,13121009404,72282.0,2014.0
370,13121009404,71993.0,2015.0
371,13121009404,70970.0,2016.0
372,13121009404,73649.0,2017.0
373,13121009502,39821.0,2012.0
374,13121009502,50655.0,2013.0
375,13121009502,48068.0,2014.0
376,13121009502,52086.0,2015.0
377,13121009502,71307.0,2016.0
378,13121009502,89298.0,2017.0
379,13121010114,58487.0,2012.0
380,13121010114,54105.0,2013.0
381,13121010114,53763.0,2014.0
382,13121010114,60020.0,2015.0
383,13121010114,54257.0,2016.0
384,13121010114,66186.0,2017.0
385,13121011800,16250.0,2012.0
386,13121011800,13056.0,2013.0
387,13121011800,9335.0,2014.0
388,13121011800,10000.0,2015.0
389,13121011800,14068.0,2016.0
390,13121011800,16087.0,2017.0
391,13089020600,39634.0,2012.0
392,13089020600,39718.0,2013.0
393,13089020600,38661.0,2014.0
394,13089020600,38452.0,2015.0
395,13089020600,36908.0,2016.0
396,13089020600,43295.0,2017.0
397,13089020400,82038.0,2012.0
398,13089020400,83378.0,2013.0
399,13089020400,83720.0,2014.0
400,13089020400,78897.0,2015.0
401,13089020400,77000.0,2016.0
402,13089020400,78681.0,2017.0
403,13089020500,39096.0,2012.0
404,13089020500,39282.0,2013.0
405,13089020500,45760.0,2014.0
406,13089020500,41758.0,2015.0
407,13089020500,44960.0,2016.0
408,13089020500,55208.0,2017.0
409,13089020801,64785.0,2012.0
410,13089020801,70556.0,2013.0
411,13089020801,67005.0,2014.0
