,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
55,13121001500,2338.0,685.0,634.0,51.0,14.0,37.0,1653.0,1268.0,385.0,2012.0
56,13121001500,2289.0,693.0,642.0,51.0,10.0,41.0,1596.0,1300.0,296.0,2013.0
57,13121001500,2396.0,667.0,623.0,44.0,10.0,34.0,1729.0,1357.0,372.0,2014.0
58,13121001500,2511.0,591.0,532.0,59.0,27.0,32.0,1920.0,1483.0,437.0,2015.0
59,13121001500,2487.0,542.0,442.0,100.0,69.0,31.0,1945.0,1532.0,413.0,2016.0
60,13121001500,2437.0,595.0,495.0,100.0,47.0,53.0,1842.0,1397.0,445.0,2017.0
61,13121001900,1203.0,329.0,163.0,166.0,16.0,150.0,874.0,783.0,91.0,2012.0
62,13121001900,1178.0,278.0,183.0,95.0,17.0,78.0,900.0,839.0,61.0,2013.0
63,13121001900,1274.0,230.0,185.0,45.0,11.0,34.0,1044.0,964.0,80.0,2014.0
64,13121001900,1335.0,203.0,180.0,23.0,14.0,9.0,1132.0,1013.0,119.0,2015.0
65,13121001900,1347.0,208.0,184.0,24.0,15.0,9.0,1139.0,1029.0,110.0,2016.0
66,13121001900,1382.0,219.0,186.0,33.0,8.0,25.0,1163.0,1047.0,116.0,2017.0
67,13121000500,2264.0,769.0,621.0,148.0,0.0,148.0,1495.0,1142.0,353.0,2012.0
68,13121000500,2227.0,791.0,678.0,113.0,0.0,113.0,1436.0,1065.0,371.0,2013.0
69,13121000500,2365.0,987.0,815.0,172.0,39.0,133.0,1378.0,994.0,384.0,2014.0
70,13121000500,2567.0,1021.0,914.0,107.0,36.0,71.0,1546.0,1255.0,291.0,2015.0
71,13121000500,2737.0,912.0,834.0,78.0,37.0,41.0,1825.0,1493.0,332.0,2016.0
72,13121000500,2703.0,942.0,795.0,147.0,41.0,106.0,1761.0,1479.0,282.0,2017.0
73,13121003600,704.0,68.0,21.0,47.0,21.0,26.0,636.0,548.0,88.0,2012.0
74,13121003600,703.0,100.0,39.0,61.0,31.0,30.0,603.0,549.0,54.0,2013.0
75,13121003600,761.0,116.0,46.0,70.0,23.0,47.0,645.0,552.0,93.0,2014.0
76,13121003600,818.0,157.0,60.0,97.0,37.0,60.0,661.0,570.0,91.0,2015.0
77,13121003600,765.0,117.0,46.0,71.0,23.0,48.0,648.0,545.0,103.0,2016.0
78,13121003600,831.0,122.0,36.0,86.0,40.0,46.0,709.0,618.0,91.0,2017.0
79,13121010002,2887.0,1796.0,1563.0,233.0,109.0,124.0,1091.0,932.0,159.0,2012.0
80,13121010002,2961.0,1699.0,1547.0,152.0,100.0,52.0,1262.0,1045.0,217.0,2013.0
81,13121010002,3097.0,1725.0,1611.0,114.0,75.0,39.0,1372.0,1163.0,209.0,2014.0
82,13121010002,3185.0,1757.0,1644.0,113.0,86.0,27.0,1428.0,1156.0,272.0,2015.0
83,13121010002,3303.0,1737.0,1701.0,36.0,0.0,36.0,1566.0,1193.0,373.0,2016.0
84,13121010002,3344.0,1709.0,1672.0,37.0,11.0,26.0,1635.0,1206.0,429.0,2017.0
85,13121010001,2294.0,835.0,746.0,89.0,14.0,75.0,1459.0,1336.0,123.0,2012.0
86,13121010001,2260.0,908.0,782.0,126.0,0.0,126.0,1352.0,1261.0,91.0,2013.0
87,13121010001,2218.0,904.0,790.0,114.0,0.0,114.0,1314.0,1216.0,98.0,2014.0
88,13121010001,2293.0,950.0,880.0,70.0,0.0,70.0,1343.0,1265.0,78.0,2015.0
89,13121010001,2436.0,964.0,890.0,74.0,0.0,74.0,1472.0,1401.0,71.0,2016.0
90,13121010001,2442.0,1019.0,920.0,99.0,0.0,99.0,1423.0,1348.0,75.0,2017.0
91,13121009802,1854.0,1097.0,984.0,113.0,14.0,99.0,757.0,618.0,139.0,2012.0
92,13121009802,1866.0,1112.0,1027.0,85.0,41.0,44.0,754.0,634.0,120.0,2013.0
93,13121009802,1934.0,1221.0,1113.0,108.0,28.0,80.0,713.0,635.0,78.0,2014.0
94,13121009802,1967.0,1271.0,1159.0,112.0,32.0,80.0,696.0,648.0,48.0,2015.0
95,13121009802,1946.0,1162.0,1077.0,85.0,37.0,48.0,784.0,716.0,68.0,2016.0
96,13121009802,1844.0,1246.0,1138.0,108.0,39.0,69.0,598.0,520.0,78.0,2017.0
97,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0
98,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
99,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
100,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
101,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
102,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
103,13121009700,1604.0,1140.0,1092.0,48.0,0.0,48.0,464.0,391.0,73.0,2012.0
104,13121009700,1539.0,1177.0,1127.0,50.0,0.0,50.0,362.0,313.0,49.0,2013.0
105,13121009700,1471.0,1141.0,1080.0,61.0,11.0,50.0,330.0,262.0,68.0,2014.0
106,13121009700,1400.0,1105.0,1030.0,75.0,10.0,65.0,295.0,236.0,59.0,2015.0
